"categoria","N","prop","dep_adm1","prov_adm2","dist_adm3"
"De 45 a 49 ",46,0.0716510903426791,"amazonas","chachapoyas","cheto"
"De 50 a 54 ",34,0.0529595015576324,"amazonas","chachapoyas","cheto"
"De 55 a 59 ",26,0.0404984423676012,"amazonas","chachapoyas","cheto"
"De 60 a 64 ",25,0.0389408099688473,"amazonas","chachapoyas","cheto"
"De 65 a 69 ",12,0.0186915887850467,"amazonas","chachapoyas","cheto"
"De 70 a 74 ",15,0.0233644859813084,"amazonas","chachapoyas","cheto"
"De 75 a 79 ",18,0.0280373831775701,"amazonas","chachapoyas","cheto"
"De 80 a 84 ",14,0.0218068535825545,"amazonas","chachapoyas","cheto"
"De 85 a 89 ",13,0.0202492211838006,"amazonas","chachapoyas","cheto"
"De 90 a 94 ",2,0.00311526479750779,"amazonas","chachapoyas","cheto"
"De 0  a 4 ",49,0.0837606837606838,"amazonas","chachapoyas","chiliquin"
"De 5  a 9 ",61,0.104273504273504,"amazonas","chachapoyas","chiliquin"
"De 10 a 14 ",34,0.0581196581196581,"amazonas","chachapoyas","chiliquin"
"De 15 a 19 ",28,0.0478632478632479,"amazonas","chachapoyas","chiliquin"
"De 20 a 24 ",37,0.0632478632478632,"amazonas","chachapoyas","chiliquin"
"De 25 a 29 ",51,0.0871794871794872,"amazonas","chachapoyas","chiliquin"
"De 30 a 34 ",40,0.0683760683760684,"amazonas","chachapoyas","chiliquin"
"De 35 a 39 ",41,0.0700854700854701,"amazonas","chachapoyas","chiliquin"
"De 40 a 44 ",33,0.0564102564102564,"amazonas","chachapoyas","chiliquin"
"De 45 a 49 ",45,0.0769230769230769,"amazonas","chachapoyas","chiliquin"
"De 50 a 54 ",38,0.064957264957265,"amazonas","chachapoyas","chiliquin"
"De 55 a 59 ",23,0.0393162393162393,"amazonas","chachapoyas","chiliquin"
"De 60 a 64 ",23,0.0393162393162393,"amazonas","chachapoyas","chiliquin"
"De 65 a 69 ",18,0.0307692307692308,"amazonas","chachapoyas","chiliquin"
"De 70 a 74 ",26,0.0444444444444444,"amazonas","chachapoyas","chiliquin"
"De 75 a 79 ",23,0.0393162393162393,"amazonas","chachapoyas","chiliquin"
"De 80 a 84 ",8,0.0136752136752137,"amazonas","chachapoyas","chiliquin"
"De 85 a 89 ",7,0.011965811965812,"amazonas","chachapoyas","chiliquin"
"De 0  a 4 ",184,0.103312745648512,"amazonas","chachapoyas","chuquibamba"
"De 5  a 9 ",196,0.110050533408198,"amazonas","chachapoyas","chuquibamba"
"De 10 a 14 ",204,0.114542391914655,"amazonas","chachapoyas","chuquibamba"
"De 15 a 19 ",153,0.085906793935991,"amazonas","chachapoyas","chuquibamba"
"De 20 a 24 ",104,0.0583941605839416,"amazonas","chachapoyas","chuquibamba"
"De 25 a 29 ",96,0.0539023020774846,"amazonas","chachapoyas","chuquibamba"
"De 30 a 34 ",111,0.0623245367770915,"amazonas","chachapoyas","chuquibamba"
"De 35 a 39 ",119,0.0668163952835486,"amazonas","chachapoyas","chuquibamba"
"De 40 a 44 ",114,0.0640089837170129,"amazonas","chachapoyas","chuquibamba"
"De 45 a 49 ",97,0.0544637843907917,"amazonas","chachapoyas","chuquibamba"
"De 50 a 54 ",78,0.0437956204379562,"amazonas","chachapoyas","chuquibamba"
"De 55 a 59 ",80,0.0449185850645705,"amazonas","chachapoyas","chuquibamba"
"De 60 a 64 ",52,0.0291970802919708,"amazonas","chachapoyas","chuquibamba"
"De 65 a 69 ",48,0.0269511510387423,"amazonas","chachapoyas","chuquibamba"
"De 70 a 74 ",44,0.0247052217855138,"amazonas","chachapoyas","chuquibamba"
"De 75 a 79 ",38,0.021336327905671,"amazonas","chachapoyas","chuquibamba"
"De 80 a 84 ",35,0.0196518809657496,"amazonas","chachapoyas","chuquibamba"
"De 85 a 89 ",16,0.00898371701291409,"amazonas","chachapoyas","chuquibamba"
"De 90 a 94 ",10,0.00561482313307131,"amazonas","chachapoyas","chuquibamba"
"De 95 a más",2,0.00112296462661426,"amazonas","chachapoyas","chuquibamba"
"De 0  a 4 ",31,0.0645833333333333,"amazonas","chachapoyas","granada"
"De 5  a 9 ",55,0.114583333333333,"amazonas","chachapoyas","granada"
"De 10 a 14 ",47,0.0979166666666667,"amazonas","chachapoyas","granada"
"De 15 a 19 ",35,0.0729166666666667,"amazonas","chachapoyas","granada"
"De 20 a 24 ",21,0.04375,"amazonas","chachapoyas","granada"
"De 25 a 29 ",31,0.0645833333333333,"amazonas","chachapoyas","granada"
"De 30 a 34 ",39,0.08125,"amazonas","chachapoyas","granada"
"De 35 a 39 ",40,0.0833333333333333,"amazonas","chachapoyas","granada"
"De 40 a 44 ",34,0.0708333333333333,"amazonas","chachapoyas","granada"
"De 45 a 49 ",33,0.06875,"amazonas","chachapoyas","granada"
"De 50 a 54 ",21,0.04375,"amazonas","chachapoyas","granada"
"De 55 a 59 ",31,0.0645833333333333,"amazonas","chachapoyas","granada"
"De 60 a 64 ",16,0.0333333333333333,"amazonas","chachapoyas","granada"
"De 65 a 69 ",8,0.0166666666666667,"amazonas","chachapoyas","granada"
"De 70 a 74 ",15,0.03125,"amazonas","chachapoyas","granada"
"De 75 a 79 ",8,0.0166666666666667,"amazonas","chachapoyas","granada"
"De 80 a 84 ",10,0.0208333333333333,"amazonas","chachapoyas","granada"
"De 85 a 89 ",3,0.00625,"amazonas","chachapoyas","granada"
"De 90 a 94 ",1,0.00208333333333333,"amazonas","chachapoyas","granada"
"De 95 a más",1,0.00208333333333333,"amazonas","chachapoyas","granada"
"De 0  a 4 ",31,0.0246422893481717,"amazonas","chachapoyas","huancas"
"De 5  a 9 ",31,0.0246422893481717,"amazonas","chachapoyas","huancas"
"De 10 a 14 ",30,0.0238473767885533,"amazonas","chachapoyas","huancas"
"De 15 a 19 ",38,0.0302066772655008,"amazonas","chachapoyas","huancas"
"De 20 a 24 ",96,0.0763116057233704,"amazonas","chachapoyas","huancas"
"De 25 a 29 ",169,0.134340222575517,"amazonas","chachapoyas","huancas"
"De 30 a 34 ",196,0.155802861685215,"amazonas","chachapoyas","huancas"
"De 35 a 39 ",154,0.12241653418124,"amazonas","chachapoyas","huancas"
"De 40 a 44 ",154,0.12241653418124,"amazonas","chachapoyas","huancas"
"De 45 a 49 ",106,0.0842607313195548,"amazonas","chachapoyas","huancas"
"De 50 a 54 ",87,0.0691573926868044,"amazonas","chachapoyas","huancas"
"De 55 a 59 ",54,0.0429252782193959,"amazonas","chachapoyas","huancas"
"De 60 a 64 ",41,0.0325914149443561,"amazonas","chachapoyas","huancas"
"De 65 a 69 ",26,0.0206677265500795,"amazonas","chachapoyas","huancas"
"De 70 a 74 ",15,0.0119236883942766,"amazonas","chachapoyas","huancas"
"De 75 a 79 ",13,0.0103338632750397,"amazonas","chachapoyas","huancas"
"De 80 a 84 ",10,0.00794912559618442,"amazonas","chachapoyas","huancas"
"De 85 a 89 ",3,0.00238473767885533,"amazonas","chachapoyas","huancas"
"De 90 a 94 ",3,0.00238473767885533,"amazonas","chachapoyas","huancas"
"De 95 a más",1,0.000794912559618442,"amazonas","chachapoyas","huancas"
"De 0  a 4 ",408,0.102564102564103,"amazonas","chachapoyas","la jalca"
"De 5  a 9 ",447,0.11236802413273,"amazonas","chachapoyas","la jalca"
"De 10 a 14 ",471,0.118401206636501,"amazonas","chachapoyas","la jalca"
"De 15 a 19 ",379,0.0952740070387129,"amazonas","chachapoyas","la jalca"
"De 20 a 24 ",287,0.0721468074409251,"amazonas","chachapoyas","la jalca"
"De 25 a 29 ",299,0.0751633986928105,"amazonas","chachapoyas","la jalca"
"De 30 a 34 ",280,0.0703871292106586,"amazonas","chachapoyas","la jalca"
"De 35 a 39 ",241,0.0605832076420312,"amazonas","chachapoyas","la jalca"
"De 40 a 44 ",220,0.0553041729512318,"amazonas","chachapoyas","la jalca"
"De 45 a 49 ",180,0.0452488687782805,"amazonas","chachapoyas","la jalca"
"De 50 a 54 ",187,0.047008547008547,"amazonas","chachapoyas","la jalca"
"De 55 a 59 ",145,0.0364504776269482,"amazonas","chachapoyas","la jalca"
"De 60 a 64 ",130,0.0326797385620915,"amazonas","chachapoyas","la jalca"
"De 65 a 69 ",84,0.0211161387631976,"amazonas","chachapoyas","la jalca"
"De 70 a 74 ",94,0.0236299648064354,"amazonas","chachapoyas","la jalca"
"De 75 a 79 ",64,0.016088486676722,"amazonas","chachapoyas","la jalca"
